timestamp_rel,mem_free,mem_slab,ksm_sharing,pgmajfault,engine_pool,engine_stored,engine_rejected
927.66,3960,8000,0,924449,65372160,267911168,0
929.13,3012,7992,0,925896,65540096,267735040,0
930.56,4780,7992,0,928034,63438848,262860800,0
932.04,3260,7992,0,928654,64540672,269279232,0
933.49,2224,7992,0,930846,64294912,266944512,0
935.38,4348,8000,0,932950,62377984,263405568,0
936.80,4260,7992,0,934301,62525440,263032832,0
938.18,2368,7992,0,935714,61456384,261787648,0
939.59,2808,7992,0,937752,59465728,258174976,0
941.29,2176,7984,0,938408,61358080,265940992,0
942.76,2356,7988,0,940132,59981824,263749632,0
944.16,3368,8000,0,941041,61734912,267317248,0
945.59,5824,7996,0,943405,58417152,260063232,0
947.03,4732,7996,0,945738,57552896,256188416,0
948.59,2016,7996,0,946308,62128128,265797632,0
950.25,3576,8000,0,947787,63172608,265539584,0
951.66,2644,7992,0,949174,64200704,266915840,0
953.17,3748,8000,0,950043,66215936,269778944,0
954.57,3988,7996,0,952050,63950848,265412608,0
955.96,4160,7996,0,953380,64806912,265175040,0
957.33,2128,7980,0,954920,63995904,265502720,0
958.88,3960,7984,0,956216,63893504,265560064,0
960.25,6168,7980,0,957916,62394368,262205440,0
961.55,2444,7980,0,960020,59949056,257183744,0
962.96,3084,7976,0,960925,60719104,258826240,0
964.34,6204,7976,0,963393,56918016,251981824,0
965.92,2320,7968,0,964005,60645376,260030464,0
967.56,3748,7972,0,965245,61210624,261611520,0
968.97,3324,7972,0,967203,59850752,256860160,0
970.42,2648,7972,0,968444,62124032,261849088,0
972.25,2916,7972,0,969957,61177856,259776512,0
973.68,5144,7972,0,971507,60366848,256176128,0
975.02,2636,7972,0,972529,60792832,257691648,0
976.41,6048,7972,0,974577,57806848,252866560,0
977.95,3500,7972,0,976146,56799232,253550592,0
979.37,4096,7972,0,977494,56541184,253100032,0
980.94,2156,7972,0,979398,54935552,252227584,0
982.50,2452,7972,0,980194,57569280,256757760,0
983.93,3836,7976,0,981239,59383808,259489792,0
985.33,2280,7976,0,982904,58650624,258056192,0
986.76,5548,7976,0,984292,59809792,258072576,0
988.29,2564,7972,0,986239,58687488,255578112,0
989.85,6216,7972,0,987560,58527744,254832640,0
991.14,4488,7972,0,988553,59330560,256356352,0
992.55,3752,7972,0,990066,58302464,254390272,0
994.05,4220,7976,0,991168,59240448,256290816,0
995.47,4556,7972,0,992906,58699776,256057344,0
997.26,2396,7968,0,993450,61915136,262967296,0
998.70,4400,7968,0,994930,61841408,262213632,0
1000.12,2772,7980,0,996289,62627840,262713344,0
1001.76,4568,7972,0,997652,62435328,262946816,0
1003.12,5352,7976,0,999938,58638336,255647744,0
1004.47,2952,7972,0,1000665,60555264,259309568,0
1005.88,2408,7972,0,1001769,61333504,260648960,0
1007.29,3768,7976,0,1003069,61128704,261046272,0
1008.80,2368,7976,0,1005149,60358656,258297856,0
1010.29,3832,7976,0,1006628,58257408,256405504,0
1011.70,2780,7976,0,1008058,57864192,256884736,0
1013.16,3416,7976,0,1009821,56918016,255504384,0
1014.58,2196,7992,0,1010960,55533568,260145152,0
1016.10,2564,8020,0,1011762,56516608,264433664,0
1017.64,2636,8020,0,1013564,57188352,262598656,0
1019.05,3268,8012,0,1016150,57245696,256278528,0
1020.60,2488,8012,0,1017202,60022784,261025792,0
1022.53,5376,8000,0,1018520,61644800,264450048,0
1023.88,4276,8012,0,1020704,58863616,260349952,0
1025.25,4496,8008,0,1023029,56143872,254382080,0
1026.62,3472,8008,0,1025044,52924416,249667584,0
1028.04,3412,8004,0,1026514,53362688,249049088,0
1029.43,3544,8004,0,1027900,53321728,249151488,0
1030.83,2072,8004,0,1029488,54157312,251019264,0
1032.53,4808,8012,0,1031154,52736000,248344576,0
1033.83,3128,8008,0,1031821,54018048,253804544,0
1035.51,6132,8004,0,1032966,55427072,255987712,0
1036.90,2600,8000,0,1035166,53817344,253575168,0
1038.71,3548,8000,0,1036517,54116352,255094784,0
1040.14,4644,8008,0,1037658,54411264,255655936,0
1041.59,2344,8004,0,1039278,53805056,255528960,0
1043.04,2428,8004,0,1040693,53129216,256028672,0
1044.48,6004,8004,0,1042117,53936128,256020480,0
1045.77,2468,8004,0,1043224,53813248,257327104,0
1047.15,2892,8004,0,1044773,55099392,256720896,0
1048.55,7332,8008,0,1045988,55857152,257044480,0
1049.85,2848,8004,0,1047780,55885824,254500864,0
1051.45,2424,8000,0,1048581,59117568,259641344,0
1053.05,2708,7996,0,1049323,63545344,267001856,0
1054.50,4688,7996,0,1050687,64278528,265629696,0
1055.89,4396,7996,0,1052241,63291392,262864896,0
1057.25,2700,8004,0,1054055,60682240,260775936,0
1058.84,3916,8000,0,1055375,60665856,260931584,0
1060.28,4684,8000,0,1057216,59518976,257077248,0
1061.59,4072,7996,0,1058599,58306560,256487424,0
1062.91,4696,8000,0,1060368,57008128,253001728,0
1064.38,3376,8008,0,1061059,57569280,253476864,0
1065.76,3436,8000,0,1062051,58302464,254005248,0
1067.15,5036,8000,0,1063361,57819136,252952576,0
1068.45,2512,7980,0,1064866,57606144,251969536,0
1069.97,2288,7980,0,1065623,60514304,257007616,0
1071.65,2156,7980,0,1065962,64471040,267010048,0
1073.68,3152,7996,0,1067834,63029248,266973184,0
1075.16,5008,7996,0,1070198,60006400,259866624,0
1076.54,2792,7996,0,1072086,57778176,258564096,0
1078.27,4840,7996,0,1073930,55611392,255246336,0
1079.70,3476,7996,0,1075577,55537664,252555264,0
1081.20,3756,7996,0,1076142,57376768,259260416,0
1082.69,3664,7996,0,1077728,58429440,259506176,0
1084.08,3104,7992,0,1078845,59772928,260632576,0
1085.48,3228,7992,0,1079901,60710912,261816320,0
1087.24,3472,7992,0,1082269,58335232,254562304,0
1088.72,4800,7992,0,1084440,55836672,250863616,0
1090.29,4392,8000,0,1086019,54042624,247578624,0
1091.63,4220,7996,0,1087205,53395456,247066624,0
1093.09,2204,7992,0,1088373,56217600,255086592,0
1095.17,3840,7992,0,1089781,56348672,254828544,0
1096.59,2764,7992,0,1090961,56684544,255524864,0
1098.01,2420,7984,0,1092316,58306560,257048576,0
1099.41,3272,7992,0,1093306,59215872,258650112,0
1100.82,3624,7984,0,1094440,60416000,260247552,0
1102.33,2264,7976,0,1095363,63275008,264970240,0
1104.18,5312,7992,0,1096542,64630784,267358208,0
1105.61,2952,8000,0,1097612,65216512,270315520,0
1107.07,6648,8016,0,1099428,63492096,266215424,0
1108.39,5896,8000,0,1101938,58765312,257781760,0
1109.69,2368,8000,0,1103105,59019264,259350528,0
1111.47,2276,8004,0,1103417,65191936,270745600,0
1113.29,5960,8024,0,1104889,65822720,270188544,0
1114.68,3556,8016,0,1106757,63111168,265523200,0
1116.12,4796,8016,0,1108021,63729664,265576448,0
